Name,AdmArea,District,Address,PublicPhone,SeatsCount,Longitude_WGS84,Latitude_WGS84
Кафе Софра,Центральный административный округ,Мещанский район,"Мещанская улица, дом 12",(916) 611-82-61,20,37.6279030847010960,55.7763229360142820
ПивКо,Северный административный округ,район Левобережный,"Флотская улица, дом 5, корпус А",(495) 781-28-85,90,37.4923007804598500,55.8514669041166560
СТАРАЯ ГАВАНА,Центральный административный округ,Таганский район,"улица Талалихина, дом 28, строение 1",(495) 277-05-78,90,37.6797970758513000,55.7301773598741000
Ploveberry,Южный административный округ,район Чертаново Центральное,"Кировоградская улица, дом 13А",(495) 389-77-66,40,37.6062569377674760,55.6134481680646790
Планета Суши,Южный административный округ,район Зябликово,"Ореховый бульвар, дом 22А",(495) 935-81-54,50,37.7327181769181120,55.6120431641733650
ИнвестГрупп,Новомосковский административный округ,поселение Московский,"деревня Говорово, дом 1Б/Н",(926) 850-68-44,0,37.4327800000000000,55.6576360000000000
Вино и Мясо,Центральный административный округ,Басманный район,"Большой Златоустинский переулок, дом 1, строение 1",(495) 624-46-55,70,37.6317446668030800,55.7598756185390130
Sardona,Южный административный округ,район Чертаново Центральное,"Кировоградская улица, дом 13А",(926) 776-38-11,30,37.6062569377674760,55.6134481680646790
Quzu Inalian Bistro,Южный административный округ,район Чертаново Центральное,"Кировоградская улица, дом 13А",(916) 173-69-84,30,37.6062569377674760,55.6134481680646790
Broadway Diner,Южный административный округ,район Чертаново Центральное,"Кировоградская улица, дом 13А",(495) 389-77-66,15,37.6062569377674760,55.6134481680646790
Пицца Экспресс,Центральный административный округ,район Хамовники,"улица Знаменка, дом 7, строение 3",(495) 710-99-43,157,37.6073638725580000,55.7490741468183000
Папа Карло,Западный административный округ,Можайский район,"улица Говорова, дом 18",(495) 448-76-24,98,37.3930474744887000,55.7213167739971000
Авлабар,Южный административный округ,Даниловский район,"Велозаводская улица, дом 6",(495) 118-40-00,45,37.6649449656868710,55.7122875580237820
GIANFRANCO,Северо-Западный административный округ,район Куркино,"Воротынская улица, дом 13/2",(495) 317-07-07,75,37.3928230000000000,55.8885940000000000
Тануки,Юго-Восточный административный округ,Южнопортовый район,"улица Симоновский Вал, дом 15",(495) 676-43-20,120,37.6644636350000040,55.7219250129999610
Ресторан Софра,Центральный административный округ,Мещанский район,"Мещанская улица, дом 12",(495) 684-74-13,20,37.6279030847010960,55.7763229360142820
Ресторан «Японский ресторан»,Центральный административный округ,Пресненский район,"Тишинская площадь, дом 1, строение 1",(499) 739-05-13,0,37.5833580000000000,55.7691929990000000
Ресторан «Роял бар»,Северный административный округ,Войковский район,"Ленинградское шоссе, дом 39, строение 23",(495) 544-50-24,96,37.4790266880879000,55.8376755918947000
Ресторан «Боттега Сицилиана»,Центральный административный округ,Тверской район,"улица Охотный Ряд, дом 2",(495) 660-03-83,58,37.6173399913988360,55.7572664203530270
Страна которой нет,Центральный административный округ,Тверской район,"улица Охотный Ряд, дом 2",(495) 737-54-01,220,37.6173399913988360,55.7572664203530270
Урюк кафе,Северо-Западный административный округ,район Строгино,"улица Маршала Катукова, дом 20",(495) 942-99-39,50,37.4075922075004000,55.8064878155031000
ПОРТО МАЛЬТЕЗЕ-МО,Северный административный округ,район Беговой,"Ленинградский проспект, дом 31А, строение 1",(495) 232-04-86,90,37.5594149397849000,55.7835069070897000
PPL,Центральный административный округ,район Якиманка,"Якиманская набережная, дом 4, строение 1",(495) 737-41-00,140,37.6123556123791000,55.7401684072919000
Ля Гурмэ,Центральный административный округ,район Якиманка,"улица Большая Полянка, дом 1/3",(499) 230-36-06,48,37.6163377613023000,55.7420331712847000
ХАРБИН,Центральный административный округ,район Якиманка,"улица Большая Якиманка, дом 54",(926) 625-18-57,80,37.6115982953236000,55.7314007059068000
Фанни Кабани,Центральный административный округ,Тверской район,"улица Малая Дмитровка, дом 5/9",(495) 220-25-02,160,37.6055885886097000,55.7677930838412000
Take five,Центральный административный округ,район Якиманка,"улица Большая Полянка, дом 1/3",(499) 230-36-06,48,37.6167758928354000,55.7421977150528000
Кабинет,Центральный административный округ,район Якиманка,"Донская улица, дом 15",(495) 740-48-58,60,37.6080211626124000,55.7237247080133000
Штирлиц,Центральный административный округ,район Якиманка,"Ленинский проспект, дом 7",(495) 617-61-03,50,37.6065520595349000,55.7250249299806000
"Ресторан Бакинский бульвар, ул. Наметкина, д.3",Юго-Западный административный округ,Обручевский район,"улица Намёткина, дом 3",(495) 223-93-18,180,37.5459460000000000,55.6656710000000000
НАСТРОЕНИЕ,Юго-Западный административный округ,Академический район,"Новочерёмушкинская улица, дом 10, строение 1",(499) 789-50-30,92,37.5841924177251000,55.6871576783798000
Ресторан «Ла Делициа»,Юго-Западный административный округ,район Коньково,"Севастопольский проспект, дом 56А",(495) 330-25-55,132,37.5486140000000000,55.6411260000000000
