№,Название района[2]/,Название cоответствующего,Адми-,Пло-,Насе-,Плот-,Пло-,Жил-
,поселения[3][4],внутригородского,нистра-,щадь-,ление,ность,щадь,площадь
,,муниципального образования:,тивный,[6][7],2019[8]-,насе-,жилого,на
,,муниципального округа / поселения /,округ,км?,чел.,ления,фонда,чело-
,,городского округа[5],,,,2019,(01.01.,века
,,,,,,чел. / км?,2010)[9]-,(01.01.
,,,,,,,тыс. м?,2010)-
,,,,,,,,м?/чел.
1,Академический,Академический,ЮЗАО,5-83,?109 387,18762.78,2467,22-7
2,Алексеевский,Алексеевский,СВАО,5-29,?80 534,15223.82,1607-9,20-5
3,Алтуфьевский,Алтуфьевский,СВАО,3-25,?57 596,17721.85,839-3,15-5
4,Арбат,Арбат,ЦАО,2-11,?36 125,17120.85,731,26
5,Аэропорт,Аэропорт,САО,4-58,?79 486,17355.02,1939-7,25-9
6,Бабушкинский,Бабушкинский,СВАО,5-07,?88 537,17462.92,1586-3,18-5
7,Басманный,Басманный,ЦАО,8-37,?110 694,13225.09,1991-8,18-4
8,Беговой,Беговой,САО,5-56,?42 781,7694.42,791-1,18-8
9,Бескудниковский,Бескудниковский,САО,3-3,?79 603,24122.12,1391-7,18-4
10,Бибирево,Бибирево,СВАО,6-45,?160 163,24831.47,2521-8,15-8
11,Бирюлёво Восточное,Бирюлёво Восточное,ЮАО,14-77,?155 863,10552.67,2122-2,14-7
12,Бирюлёво Западное,Бирюлёво Западное,ЮАО,8-51,?88 672,10419.74,1183-2,13-2
13,Богородское,Богородское,ВАО,10-24,?109 324,10676.17,1744-1,16-9
14,Братеево,Братеево,ЮАО,7-63,?110 021,14419.53,1585-4,15-5
15,Бутырский,Бутырский,СВАО,5-04,?71 458,14178.17,1236-2,18-3
16,Вешняки,Вешняки,ВАО,10-72,?122 285,11407.18,1976-8,16-2
17,Внуково,Внуково,ЗАО,17-42,?25 471,1462.17,416-6,17-8
18,Войковский,Войковский,САО,6-61,?70 729,10700.3,1531,23-1
19,Восточное Дегунино,Восточное Дегунино,САО,3-77,?98 923,26239.52,1592-5,16-7
20,Восточное Измайлово,Восточное Измайлово,ВАО,3-85,?78 154,20299.74,706-6,9-5
21,Восточный,Восточный,ВАО,3-14,?13 689,4359.55,227-5,18-4
22,Выхино-Жулебино,Выхино-Жулебино,ЮВАО,14-97,?225 154,15040.35,3704-7,17-1
23,Гагаринский,Гагаринский,ЮЗАО,5-5,?81 877,14886.73,2095-3,26-7
24,Головинский,Головинский,САО,8-93,?103 197,11556.22,1806-4,17-6
25,Гольяново,Гольяново,ВАО,14-99,?163 009,10874.52,3024-1,19-1
26,Даниловский,Даниловский,ЮАО,12-6,?94 316,7485.4,2847-4,31-7
27,Дмитровский,Дмитровский,САО,7-29,?93 468,12821.4,1364-5,15-5
28,Донской,Донской,ЮАО,5-73,?51 894,9056.54,1094,23
29,Дорогомилово,Дорогомилово,ЗАО,7-95,?76 093,9571.45,1906-2,28
30,Замоскворечье,Замоскворечье,ЦАО,4-32,?59 105,13681.71,1072-3,19-2
31,Западное Дегунино,Западное Дегунино,САО,7-53,?84 163,11177.03,1385-1,17-5
32,Зюзино,Зюзино,ЮЗАО,5-45,?126 815,23268.81,2132-3,17-5
33,Зябликово,Зябликово,ЮАО,4-38,?133 278,30428.77,1879-2,14-5
34,Ивановское,Ивановское,ВАО,10-19,?128 267,12587.54,2075,16-2
35,Измайлово,Измайлово,ВАО,15-24,?107 381,7046,2055-9,19-7
36,Капотня,Капотня,ЮВАО,8-06,?32 399,4019.73,408-5,13-8
37,Коньково,Коньково,ЮЗАО,7-18,?156 389,21781.2,3098-8,20-4
38,Коптево,Коптево,САО,5-38,?102 076,18973.23,2449-8,25
39,Косино-Ухтомский,Косино-Ухтомский,ВАО,15-05,?82 267,5466.25,1336,18-3
40,Котловка,Котловка,ЮЗАО,3-94,?65 892,16723.86,1104-1,17
41,Красносельский,Красносельский,ЦАО,4-96,?48 697,9817.94,871-2,18-3
42,Крылатское,Крылатское,ЗАО,12-04,?82 817,6878.49,1850-5,22-4
43,Крюково,Крюково,ЗелАО,10-49,?100 098,9542.23,1799,21
44,Кузьминки,Кузьминки,ЮВАО,8-15,?145 984,17912.15,2312-7,16-1
45,Кунцево,Кунцево,ЗАО,16-56,?152 364,9200.72,2587-4,17-6
46,Куркино,Куркино,СЗАО,7-9,?34 012,4305.32,900,42-2
47,Левобережный,Левобережный,САО,8,?54 596,6824.5,933,17-7
48,Лефортово,Лефортово,ЮВАО,9-06,?95 343,10523.51,1384-2,15-2
49,Лианозово,Лианозово,СВАО,5-79,?85 901,14836.1,1563-7,18-1
50,Ломоносовский,Ломоносовский,ЮЗАО,3-34,?88 320,26443.11,2881-5,33-9
51,Лосиноостровский,Лосиноостровский,СВАО,5-54,?82 899,14963.72,1486,18-7
52,Люблино,Люблино,ЮВАО,17-41,?172 054,9882.48,2739-7,15-9
53,Марфино,Марфино,СВАО,2-97,?35 387,11914.81,711-1,26-2
54,Марьина Роща,Марьина Роща,СВАО,4-68,?67 394,14400.43,1118-9,16-9
55,Марьино,Марьино,ЮВАО,11-91,?253 943,21321.83,4523,18-6
56,Матушкино,Матушкино,ЗелАО,4-38,?40 694,9290.87,781,20-3
57,Метрогородок,Метрогородок,ВАО,27-57,?39 024,1415.45,575-7,15-9
58,Мещанский,Мещанский,ЦАО,4-6,?61 213,13307.17,1417-4,24-4
59,Митино,Митино,СЗАО,12-67,?194 965,15387.92,3658-1,21
60,Можайский,Можайский,ЗАО,10-73,?138 610,12917.99,2655-9,20
61,Молжаниновский,Молжаниновский,САО,21-78,?12 194,559.87,69-9,19-9
62,Москворечье-Сабурово,Москворечье-Сабурово,ЮАО,9-3,?80 673,8674.52,1314-7,17-9
63,Нагатино-Садовники,Нагатино-Садовники,ЮАО,8-17,?83 496,10219.83,960-4,12-8
64,Нагатинский Затон,Нагатинский Затон,ЮАО,9-8,?120 954,12342.24,1848-8,16-2
65,Нагорный,Нагорный,ЮАО,5-42,?81 731,15079.52,1551-4,20-3
66,Некрасовка,Некрасовка,ЮВАО,5-58,?71 943,12893.01,385-5,20-1
