Муниципальное образование;Все население;в т.ч. городское;в т.ч. сельское
Город федерального значения - г. Москва;12 197 596;12 054 243;143 353
Восточный округ;1 495 835;1 495 835;0
в том числе муниципальные образования Восточного округа:;;;
Богородское;106 828;106 828;0
Вешняки;121 693;121 693;0
Восточное Измайлово;77 698;77 698;0
Восточное;12 967;12 967;0
Гольяново;160 372;160 372;0
Ивановское;126 794;126 794;0
Измайлово;105 434;105 434;0
Косино-Ухтомское;79 429;79 429;0
Метрогородок;37 042;37 042;0
Новогиреево;96 627;96 627;0
Новокосино;106 388;106 388;0
Перово;140 762;140 762;0
Преображенское;87 328;87 328;0
Северное Измайлово;86 947;86 947;0
Соколиная Гора;89 568;89 568;0
Сокольники;59 958;59 958;0
Западный округ;1 344 044;1 344 044;0
в том числе муниципальные образования Западного округа:;;;
Внуково;24 023;24 023;0
Дорогомилово;71 109;71 109;0
Крылатское;81 051;81 051;0
Кунцево;148 164;148 164;0
Можайское;135 712;135 712;0
Ново-Переделкино;119 183;119 183;0
Очаково-Матвеевское;124 580;124 580;0
Проспект Вернадского;62 921;62 921;0
Раменки;133 595;133 595;0
Солнцево;119 584;119 584;0
Тропарево-Никулино;119 568;119 568;0
Филевский парк;91 288;91 288;0
Фили Давыдково;113 266;113 266;0
Зеленоградский округ;232 489;232 489;0
в том числе муниципальные образования Зеленоградского округа:;;;
Матушкино;39 242;39 242;0
Савелки;33 118;33 118;0
Силино;39 152;39 152;0
Старое Крюково;29 793;29 793;0
Крюково;91 184;91 184;0
Северный округ;1 151 160;1 151 160;0
в том числе муниципальные образования Северного округа:;;;
Аэропорт;78 893;78 893;0
Беговое;42 579;42 579;0
Бескудниковское;77 684;77 684;0
Войковское;68 738;68 738;0
Восточное Дегунино;97 915;97 915;0
Головинское;102 997;102 997;0
Дмитровское;91 381;91 381;0
Западное Дегунино;81 138;81 138;0
Коптево;100 642;100 642;0
Левобережное;53 015;53 015;0
Молжаниновское;5 206;5 206;0
Савеловское;59 004;59 004;0
Сокол;59 057;59 057;0
Тимирязевское;83 299;83 299;0
Ховрино;84 384;84 384;0
Хорошевское;65 227;65 227;0
Северо-Восточный округ;1 402 928;1 402 928;0
в том числе муниципальные образования Северо-Восточного округа:;;;
Алексеевское;79 762;79 762;0
Алтуфьевское;56 811;56 811;0
Бабушкинское;87 594;87 594;0
Бибирево;159 067;159 067;0
Бутырское;70 316;70 316;0
Лианозово;84 005;84 005;0
Лосиноостровское;82 318;82 318;0
Марфино;32 691;32 691;0
Марьина Роща;66 844;66 844;0
Останкинское;62 743;62 743;0
Отрадное;182 527;182 527;0
Ростокино;38 591;38 591;0
Свиблово;61 779;61 779;0
Северное Медведково;125 591;125 591;0
Северное;31 986;31 986;0
Южное Медведково;84 390;84 390;0
Ярославское;95 913;95 913;0
Северо-Западный округ;979 614;979 614;0
в том числе муниципальные образования Северо-Западного округа:;;;
Куркино;30 108;30 108;0
Митино;184 730;184 730;0
Покровское Стрешнево;56 424;56 424;0
Северное Тушино;163 627;163 627;0
Строгино;158 223;158 223;0
Хорошево-Мневники;170 609;170 609;0
Щукино;108 624;108 624;0
Южное Тушино;107 269;107 269;0
Центральный округ;760 690;760 690;0
в том числе муниципальные образования Центрального округа:;;;
Арбат;31 286;31 286;0
Басманное;109 648;109 648;0
Замоскворечье;57 012;57 012;0
Красносельское;48 104;48 104;0
Мещанское;59 337;59 337;0
Пресненское;125 899;125 899;0
Таганское;119 094;119 094;0
Тверское;76 881;76 881;0
Хамовники;106 260;106 260;0
Якиманка;27 169;27 169;0
Юго-Восточный округ;1 363 859;1 363 859;0
в том числе муниципальные образования Юго-Восточного округа:;;;
Выхино-Жулебино;222 554;222 554;0
Капотня;31 941;31 941;0
Кузьминки;144 397;144 397;0
Лефортово;92 417;92 417;0
Люблино;170 143;170 143;0
Марьино;251 522;251 522;0
Некрасовка;35 933;35 933;0
Нижегородское;44 781;44 781;0
Печатники;85 841;85 841;0
Рязанский;107 370;107 370;0
Текстильщики;103 782;103 782;0
Южнопортовое;73 178;73 178;0
Юго-Западный округ;1 414 510;1 414 510;0
в том числе муниципальные образования Юго-Западного округа:;;;
Академическое;108 516;108 516;0
Гагаринское;78 407;78 407;0
Зюзино;125 052;125 052;0
Коньково;155 667;155 667;0
Котловка;65 584;65 584;0
Ломоносовское;87 065;87 065;0
Обручевское;83 469;83 469;0
Северное Бутово;93 911;93 911;0
Теплый Стан;133 069;133 069;0
Черемушки;106 587;106 587;0
Южное Бутово;200 169;200 169;0
Ясенево;177 014;177 014;0
Южный округ;1 760 813;1 760 813;0
в том числе муниципальные образования Южного округа:;;;
Бирюлево Восточное;149 281;149 281;0
Бирюлево Западное;87 895;87 895;0
